device,model,task,task_label,engine,num_requests,dataset,qps,avg_latency
a100,Qwen2.5-14B,code,CodeWriter,MoonCake,20,D1,0.5,2159.778066
a100,Qwen2.5-14B,code,CodeWriter,MoonCake,20,D1,1,2271.144101
a100,Qwen2.5-14B,code,CodeWriter,MoonCake,30,D2,0.05,1954.921095
a100,Qwen2.5-14B,code,CodeWriter,MoonCake,30,D2,0.1,2330.863717
a100,Qwen2.5-14B,code,CodeWriter,MoonCake,30,D2,0.2,2523.350263
a100,Qwen2.5-14B,code,CodeWriter,MoonCake,30,D2,0.5,2888.511868
a100,Qwen2.5-14B,code,CodeWriter,MoonCake,30,D2,1,3075.848947
a100,Qwen2.5-14B,research,DeepResearch,MoonCake,20,D1,0.05,606.025839
a100,Qwen2.5-14B,research,DeepResearch,MoonCake,20,D1,0.1,677.294268
a100,Qwen2.5-14B,research,DeepResearch,MoonCake,20,D1,0.2,682.012581
a100,Qwen2.5-14B,research,DeepResearch,MoonCake,20,D1,0.5,755.10962
a100,Qwen2.5-14B,research,DeepResearch,MoonCake,20,D1,1,791.701407
a100,Qwen2.5-14B,research,DeepResearch,MoonCake,30,D2,0.05,772.639053
a100,Qwen2.5-14B,research,DeepResearch,MoonCake,30,D2,0.1,788.829219
a100,Qwen2.5-14B,research,DeepResearch,MoonCake,30,D2,0.2,879.11705
a100,Qwen2.5-14B,research,DeepResearch,MoonCake,30,D2,0.5,867.25579
a100,Qwen2.5-14B,research,DeepResearch,MoonCake,30,D2,1,936.803148
h20,Qwen2.5-32B,code,CodeWriter,vLLM-Prefix,20,D1,0.05,749.450341
h20,Qwen2.5-32B,code,CodeWriter,vLLM-Prefix,20,D1,0.1,851.352118
h20,Qwen2.5-32B,code,CodeWriter,vLLM-Prefix,20,D1,0.2,923.181145
h20,Qwen2.5-32B,code,CodeWriter,vLLM-Prefix,20,D1,0.5,1283.236982
h20,Qwen2.5-32B,code,CodeWriter,vLLM-Prefix,20,D1,1,1350.133118
h20,Qwen2.5-32B,code,CodeWriter,vLLM-Prefix,30,D2,0.05,900.62211
h20,Qwen2.5-32B,code,CodeWriter,vLLM-Prefix,30,D2,0.1,1192.100909
h20,Qwen2.5-32B,code,CodeWriter,vLLM-Prefix,30,D2,0.2,1289.625515
h20,Qwen2.5-32B,code,CodeWriter,vLLM-Prefix,30,D2,0.5,1685.840846
h20,Qwen2.5-32B,code,CodeWriter,vLLM-Prefix,30,D2,1,1702.440021
h20,Qwen2.5-32B,research,DeepResearch,vLLM-Prefix,20,D1,0.05,516.001622
h20,Qwen2.5-32B,research,DeepResearch,vLLM-Prefix,20,D1,0.1,556.878459
h20,Qwen2.5-32B,research,DeepResearch,vLLM-Prefix,20,D1,0.2,674.303964
h20,Qwen2.5-32B,research,DeepResearch,vLLM-Prefix,20,D1,0.5,745.79095
h20,Qwen2.5-32B,research,DeepResearch,vLLM-Prefix,20,D1,1,1072.110911
h20,Qwen2.5-32B,research,DeepResearch,vLLM-Prefix,30,D2,0.05,764.714369
h20,Qwen2.5-32B,research,DeepResearch,vLLM-Prefix,30,D2,0.1,855.365045
h20,Qwen2.5-32B,research,DeepResearch,vLLM-Prefix,30,D2,0.2,988.947613
