mode,request_rate,avg_app_latency_s,throughput_rps
baseline,0.2,496.920284,0.009220693
agent,0.2,433.919710,0.010658697
offload,0.2,458.789798,0.009919051
offload_agent,0.2,394.203055,0.011745446
baseline,0.5,508.191066,0.009251983
agent,0.5,476.291569,0.010001966
offload,0.5,496.299100,0.009667598
offload_agent,0.5,406.794019,0.011713501
